년,월,일,시,Gwang-bok,On-cheon,Jeon-po,Hak-Jang
2014,1,19,15,0.023,0.025,0.023,0.009
2014,1,19,16,0.028,0.03,0.027,0.008
2014,1,19,17,0.025,0.026,0.03,0.011
2014,1,19,18,0.03,0.025,0.031,0.026
2014,1,19,19,0.05,0.028,0.042,0.024
2014,1,19,20,0.054,0.026,0.046,0.025
2014,1,19,21,0.044,0.031,0.045,0.03
2014,1,19,22,0.033,0.033,0.04,0.031
2014,1,19,23,0.029,0.02,0.042,0.029
2014,1,19,24,0.023,0.018,0.039,0.028
2014,1,20,1,0.026,0.02,0.033,0.025
2014,1,20,2,0.02,0.015,0.026,0.027
2014,1,20,3,0.015,0.01,0.021,0.012
2014,1,20,4,0.016,0.014,0.016,0.015
2014,1,20,5,0.015,0.016,0.016,0.021
2014,1,20,6,0.014,0.024,0.019,0.026
2014,1,20,7,0.019,0.039,0.027,0.032
2014,1,20,8,0.031,0.043,0.026,0.036
2014,1,20,9,0.04,0.031,0.028,0.038
2014,1,20,10,0.032,0.027,0.025,0.043
2014,1,20,11,0.033,0.022,0.029,0.025
2014,1,20,12,0.034,0.021,0.035,0.032
2014,1,20,13,0.038,0.025,0.037,0.024
2014,1,20,14,0.039,0.024,0.028,0.024
2014,1,20,15,0.031,0.022,0.024,0.02
2014,1,20,16,0.021,0.023,0.022,0.018
2014,1,20,17,0.02,0.024,0.024,0.02
2014,1,20,18,0.024,0.028,0.031,0.026
2014,1,20,19,0.036,0.026,0.034,0.031
2014,1,20,20,0.029,0.026,0.048,0.024
2014,1,20,21,0.02,0.025,0.046,0.02
2014,1,20,22,0.023,0.018,0.035,0.025
2014,1,20,23,0.026,0.017,0.025,0.019
2014,1,20,24,0.015,0.012,0.017,0.011
2014,1,21,1,0.011,0.011,0.011,0.009
2014,1,21,2,0.009,0.01,0.01,0.007
2014,1,21,3,0.009,0.009,0.008,0.007
2014,1,21,4,0.008,0.007,0.008,0.007
2014,1,21,5,0.01,0.008,0.009,0.01
2014,1,21,6,0.013,0.011,0.013,0.016
2014,1,21,7,0.014,0.039,0.019,0.02
2014,1,21,8,0.019,0.029,0.026,0.026
2014,1,21,9,0.022,0.018,0.022,0.023
2014,1,21,10,0.019,0.015,0.016,0.017
2014,1,21,11,0.018,0.015,0.014,0.014
2014,1,21,12,0.016,0.016,0.013,0.013
2014,1,21,13,0.015,0.016,0.014,0.011
2014,1,21,14,0.015,0.016,0.015,0.012
2014,1,21,15,0.016,0.018,0.017,0.014
2014,1,21,16,점검,0.02,점검,0.014
2014,1,21,17,점검,0.022,점검,0.016
2014,1,21,18,0.027,0.019,0.025,0.02
2014,1,21,19,0.033,0.021,0.028,0.021
2014,1,21,20,0.028,0.021,0.026,0.017
2014,1,21,21,0.027,0.02,0.028,0.018
2014,1,21,22,0.026,0.019,0.032,0.017
2014,1,21,23,0.025,0.017,0.033,0.015
2014,1,21,24,0.024,0.014,0.029,0.016
2014,1,22,1,0.023,0.012,0.025,0.015
2014,1,22,2,0.021,0.011,0.022,0.013
2014,1,22,3,0.02,0.012,0.02,0.013
2014,1,22,4,0.02,0.011,0.022,0.014
2014,1,22,5,0.021,0.014,0.023,0.015
2014,1,22,6,0.023,0.017,0.025,0.017
